Austria,190.37,95.66,80.75
Belgium,160.52,91.02,55.49
Bulgaria,138.20,51.40,59.82
Bosnia And Herzegovina,139.14,51.29,59.03
Belarus,119.23,36.43,77.74
Switzerland,173.54,95.35,77.55
Czech Republic,165.41,76.22,69.82
Germany,189.74,124.88,67.97
Denmark,184.92,98.76,78.87
Estonia,171.09,68.48,77.00
Finland,182.93,114.97,75.37
France,160.25,87.29,56.34
United Kingdom,172.87,96.85,58.81
Greece,148.32,58.24,59.68
Croatia,170.63,60.71,72.20
Hungary,138.82,47.52,61.61
Ireland,166.90,103.52,54.23
Italy,142.52,71.83,55.34
Lithuania,130.28,51.67,59.97
Macedonia,116.42,39.85,61.34
Netherlands,175.23,86.52,70.11
Norway,165.93,105.58,54.31
Poland,150.21,71.75,68.47
Portugal,178.43,62.72,64.61
Romania,143.04,53.44,72.05
Russia,85.93,48.27,53.95
Slovenia,175.45,78.23,75.95
Sweden,172.74,107.23,53.35
Ukraine,87.49,26.93,48.73